,Home Team Initials,Away Team Initials,weight,HomeGoalTotal
557,SWE,ISR,1,1
558,SWE,ITA,1,1
559,SWE,MEX,1,1
560,SWE,NGA,1,1
561,SWE,PAR,2,2
562,SWE,POL,1,1
563,SWE,RUS,1,1
564,SWE,SCO,1,1
565,SWE,SEN,1,1
566,SWE,URS,1,1
567,SWE,URU,2,2
568,SWE,WAL,1,1
569,SWE,YUG,1,1
570,TCH,ARG,1,1
571,TCH,CRC,1,1
572,TCH,ESP,1,1
573,TCH,GER,1,1
574,TCH,HUN,1,1
575,TCH,KUW,1,1
576,TCH,NED,1,1
577,TCH,ROU,1,1
578,TCH,SUI,1,1
579,TCH,YUG,1,1
580,TOG,FRA,1,1
581,TOG,SUI,1,1
582,TRI,SWE,1,1
583,TUN,BEL,1,1
584,TUN,JPN,1,1
585,TUN,KSA,1,1
586,TUN,MEX,1,1
587,TUR,CHN,1,1
588,TUR,KOR,1,1
589,UAE,COL,1,1
590,UKR,TUN,1,1
591,URS,AUT,1,1
592,URS,BEL,2,2
593,URS,CAN,1,1
594,URS,CHI,1,1
595,URS,COL,1,1
596,URS,ENG,2,2
597,URS,HUN,2,2
598,URS,ITA,1,1
599,URS,NZL,1,1
600,URS,PRK,1,1
601,URS,ROU,1,1
602,URS,SCO,1,1
603,URS,SLV,1,1
604,URS,URU,1,1
605,URS,YUG,1,1
606,URU,ARG,1,1
607,URU,BOL,1,1
608,URU,BRA,1,1
609,URU,COL,1,1
610,URU,CRC,1,1
611,URU,DEN,1,1
612,URU,ENG,2,2
613,URU,ESP,2,2
614,URU,FRA,2,2
615,URU,FRG,1,1
616,URU,GER,1,1
617,URU,GHA,1,1
618,URU,ISR,1,1
619,URU,ITA,1,1
620,URU,KOR,1,1
621,URU,MEX,1,1
622,URU,NED,2,2
623,URU,PER,1,1
624,URU,ROU,1,1
625,URU,SCO,1,1
626,URU,SWE,1,1
627,URU,TCH,1,1
628,URU,URS,1,1
629,URU,YUG,1,1
630,USA,ALG,1,1
631,USA,BEL,1,1
632,USA,COL,1,1
633,USA,CZE,1,1
634,USA,ENG,1,1
635,USA,GER,1,1
636,USA,GHA,1,1
637,USA,IRN,1,1
638,USA,PAR,1,1
639,USA,POR,2,2
640,USA,ROU,1,1
641,USA,SUI,1,1
642,USA,TCH,1,1
643,USA,YUG,1,1
644,WAL,HUN,1,1
645,YUG,ARG,1,1
646,YUG,BOL,1,1
647,YUG,BRA,1,1
648,YUG,COL,2,2
649,YUG,FRA,2,2
650,YUG,FRG,2,2
651,YUG,IRN,1,1
652,YUG,MEX,1,1
653,YUG,NIR,1,1
654,YUG,SCO,1,1
655,YUG,SUI,1,1
656,YUG,UAE,1,1
657,YUG,URU,1,1
658,YUG,ZAI,1,1
659,ZAI,BRA,1,1
660,ZAI,SCO,1,1
